"","id","user_id","text"
"1","10871","5421","Night night, see you tomorrow"
"2","08282","4855","Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil"
"3","43963","9555","Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
"4","05973","0212","Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
"5","02313","3912","Dear reached railway. What happen to you"
"6","03440","6557","what I meant to say is cant wait to see u again getting bored of this bridgwater banter"
"7","85693","0640","Sorry * was at the grocers."
"8","34056","9742","How much is torch in 9ja."
"9","34432","4287","Cos daddy arranging time c wat time fetch ü mah..."
"10","42307","6271","So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!"
"11","39181","5685","Going on nothing great.bye"
"12","77680","7880","If I die I want u to have all my stuffs."
"13","53607","1825","Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked."
"14","90180","8605","I'm on da bus going home..."
"15","31791","0604","Wat u doing there?"
"16","71290","3022","Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
"17","85248","5738","I always chat with you. In fact i need money can you raise me?"
"18","43648","6749","Dont pick up d call when something important is There to tell. Hrishi"
"19","27073","3499","THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x"
"20","97107","2367","Sian... Aft meeting supervisor got work 2 do liao... U working now?"
"21","21034","5097","I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair."
"22","39859","8644","Can ü all decide faster cos my sis going home liao.."
"23","33709","6007","As if i wasn't having enough trouble sleeping."
"24","40021","0536","Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*"
"25","70119","6804","That is wondarfull song"
"26","17218","9827","Me, i dont know again oh"
"27","57746","3976","Ok."
"28","74227","8582","Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No."
"29","25041","4085","It's cool, we can last a little while. Getting more any time soon?"
"30","93855","0498","Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting"
"31","94050","5328","Cant think of anyone with * spare room off * top of my head"
"32","04525","5171","I'll meet you in the lobby"
"33","20182","2986","Jay's getting really impatient and belligerent"
"34","84936","9365","Is toshiba portege m100 gd?"
"35","74021","6271","Sent me de webadres for geting salary slip"
"36","01690","6736","Hi elaine, is today's meeting confirmed?"
"37","38654","5138","Once free call me sir."
"38","99681","3511","Eat at old airport road... But now 630 oredi... Got a lot of pple..."
"39","21889","4327","You made my day. Do have a great day too."
"40","10129","3532","Me sef dey laugh you. Meanwhile how's my darling anjie!"
"41","34436","1195","Ill be at yours in about 3 mins but look out for me"
"42","64741","9412","You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged"
"43","44917","9271","K.i will send in  &lt;"
"44","38454","2565","Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!"
"45","01612","1324","Still chance there. If you search hard you will get it..let have a try :)"
"46","64357","0809","Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
"47","33641","2027","Am not interested to do like that."
"48","36593","9854","It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900)"
"49","40841","0585","Thts god's gift for birds as humans hav some natural gift frm god.."
"50","61587","6804","Mm feeling sleepy. today itself i shall get that dear"
"51","40241","0195","No calls..messages..missed calls"
"52","67520","9052","Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?"
"53","55120","8664","Dude we should go sup again"
"54","59533","3522","OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?"
"55","91776","4868","His bday real is in april ."
"56","08551","6915","My sister cleared two round in birla soft yesterday."
"57","23954","0498","Nah I don't think he goes to usf, he lives around here though"
